chunk,type,seed,p_mean,p_levene
up_1_20,real,-,2.0672820981395926e-08,0.0025647595068912865
up_21_40,real,-,0.8672113205737763,0.001939610737917902
up_41_60,real,-,0.26125854862432923,0.9658044807081343
ds_1_20,real,-,7.640594510309933e-23,2.8168626352517986e-19
ds_21_40,real,-,0.2888899845677101,0.6332932544923066
ds_41_60,real,-,0.8195559163692,0.7898582484806032
ds_61_80,real,-,0.21290434732481098,0.7405843687608767
ds_81_100,real,-,0.5189646140090937,0.2024139110727761
up_1_20,shuffle,42,0.4921552709580219,0.0013313499673387374
up_1_20,shuffle,43,0.7839332133064653,0.5645277476909428
up_1_20,shuffle,44,0.04311287554674959,0.3467541534072669
up_1_20,shuffle,45,0.5882919414884383,0.7214483516479258
up_1_20,shuffle,46,0.4502365759338491,0.8164672436968867
up_1_20,shuffle,47,0.8891752563506621,0.2134451722930448
up_1_20,shuffle,48,0.25918116715005424,0.11759332999568389
up_1_20,shuffle,49,0.7439143675428331,0.04820398532912617
up_1_20,shuffle,50,0.01793539233362412,0.3020050736632315
up_1_20,shuffle,51,0.2453194694408042,0.22653827331214052
up_1_20,shuffle,52,0.44608882887456125,0.07342935191772555
up_1_20,shuffle,53,0.5447038096215636,0.23474918664113653
up_1_20,shuffle,54,0.25825452379777714,9.789790091662127e-05
up_1_20,shuffle,55,0.8797496060877753,0.5226134918443635
up_1_20,shuffle,56,0.08475480972688326,0.6560353925586934
up_1_20,shuffle,57,0.41525554079905036,0.5249456552320311
up_1_20,shuffle,58,0.03147795053993773,0.00025627878542890277
up_1_20,shuffle,59,0.11290147221639958,0.9039893456283263
up_1_20,shuffle,60,0.6268485989955096,2.3462138897520935e-08
up_1_20,shuffle,61,0.5119952661350158,0.6747850860659579
up_1_20,shuffle,62,0.10643254447022954,0.4682691607844618
up_1_20,shuffle,63,0.4234374511043558,0.07533379026899228
up_1_20,shuffle,64,0.2440212402334176,0.6571610803556599
up_1_20,shuffle,65,0.13557964605563363,0.039291516088966055
up_1_20,shuffle,66,0.11631867768300655,0.0007169889178138075
up_1_20,shuffle,67,0.019469511231328746,0.03883168880838819
up_1_20,shuffle,68,0.4815306046014299,0.1124399216499676
up_1_20,shuffle,69,0.6326581518003195,0.825838224913739
up_1_20,shuffle,70,0.8101281241619921,0.8633743349079914
up_1_20,shuffle,71,0.9516169057015341,0.00022487091629900657
