seed,stage,epoch,train_loss,val_kl,val_mse,test_kl,test_mse,sumdiff_w,sumdiff_b
42,1,1,11.35570689,0.38586902,0.13387292,0.38297943,0.13308284,1.05763865,-0.00082733
42,1,2,8.98679891,0.35461510,0.12135018,0.35192595,0.12095280,1.05043447,-0.00080880
42,1,3,8.67223630,0.34919582,0.11789554,0.34646856,0.11771245,1.04989254,-0.00078064
42,1,4,8.33553661,0.33957448,0.12116727,0.33815596,0.12095951,1.07131934,-0.00089683
42,1,5,7.94740346,0.27436269,0.09165789,0.27165783,0.09175903,1.14932799,-0.00080067
42,1,6,7.75881914,0.40637044,0.14472901,0.40542920,0.14473131,1.20976949,-0.00091988
42,1,7,7.52638573,0.23280691,0.07927885,0.22993605,0.07890147,1.26150072,-0.00083323
42,1,8,7.40429431,0.22190465,0.07416266,0.21903523,0.07397316,1.27195036,-0.00080231
42,1,9,7.20001759,0.24485985,0.08007887,0.24198561,0.08022281,1.31966066,-0.00076031
42,1,10,7.20514878,0.28037478,0.09094477,0.27761225,0.09124758,1.27921832,-0.00071816
42,1,11,7.09332146,0.21331897,0.07157031,0.21019457,0.07116561,1.26312935,-0.00077331
42,1,12,7.09646806,0.21990805,0.07515984,0.21701076,0.07458272,1.19014561,-0.00077455
42,1,13,6.97008922,0.22766047,0.07843252,0.22450868,0.07769505,1.19776142,-0.00076742
42,1,14,6.92332661,0.21068219,0.07115104,0.20758772,0.07057730,1.17788780,-0.00072409
42,1,15,6.81853081,0.25809973,0.09027154,0.25515996,0.08949017,1.18572390,-0.00075518
42,1,16,6.81736896,0.20810961,0.06966978,0.20496893,0.06916545,1.12479138,-0.00066965
42,1,17,6.75036394,0.21167922,0.06972585,0.20845175,0.06942052,1.12302315,-0.00062448
42,1,18,6.70720502,0.21000704,0.07100435,0.20676678,0.07033561,1.08303130,-0.00063560
42,1,19,6.61224467,0.21481758,0.07071379,0.21195503,0.07055781,1.10199142,-0.00056806
42,1,20,6.59961351,0.23905853,0.08307163,0.23577000,0.08216996,1.07171845,-0.00063116
42,1,21,6.55524709,0.21549907,0.07318980,0.21184610,0.07233697,1.02909946,-0.00056813
42,1,22,6.47192610,0.26640881,0.08573800,0.26375289,0.08603227,1.03732514,-0.00042452
42,1,23,6.44267442,0.21207566,0.06961586,0.20877514,0.06929185,0.99925441,-0.00045258
42,1,24,6.34743006,0.20979589,0.06915214,0.20658311,0.06878889,0.99283004,-0.00043018
42,1,25,6.29173977,0.25141874,0.08788214,0.24797262,0.08679438,0.98535794,-0.00050941
42,1,26,6.23529115,0.24019586,0.08377442,0.23675014,0.08268006,0.96099466,-0.00047599
42,1,27,6.19745907,0.20570018,0.06907647,0.20221476,0.06832805,0.94377786,-0.00037955
42,1,28,6.14824720,0.21876850,0.07508891,0.21520666,0.07409361,0.91568798,-0.00038386
42,1,29,6.04514845,0.20418771,0.06796297,0.20082615,0.06735631,0.92937666,-0.00030150
42,1,30,6.02451107,0.22035853,0.07579230,0.21683253,0.07479265,0.88334930,-0.00032507
42,1,31,5.95040021,0.23412685,0.08123027,0.23049232,0.08012872,0.90249389,-0.00030767
42,1,32,5.89619204,0.22060294,0.07207381,0.21747128,0.07189295,0.87948906,-0.00012980
42,1,33,5.84093239,0.20386810,0.06796640,0.20039748,0.06729609,0.88006455,-0.00015275
42,1,34,5.76366854,0.22193902,0.07245774,0.21886223,0.07232506,0.86639202,-0.00004659
42,1,35,5.70412304,0.21372574,0.07293570,0.21003238,0.07191693,0.85068119,-0.00012706
42,1,36,5.67322760,0.20602969,0.06939548,0.20246944,0.06855069,0.84042114,-0.00005360
42,1,37,5.59679895,0.20608839,0.06938529,0.20239181,0.06850948,0.83388752,-0.00001553
42,1,38,5.51742402,0.25478626,0.08219210,0.25206391,0.08243846,0.83671302,0.00017268
42,1,39,5.45344452,0.21029702,0.06923272,0.20708143,0.06886338,0.81113940,0.00013345
42,1,40,5.38869309,0.20938436,0.07114857,0.20576158,0.07016269,0.82997143,0.00007695
42,1,41,5.34172480,0.20442259,0.06842207,0.20075643,0.06762239,0.81926715,0.00015801
42,1,42,5.28637591,0.20528129,0.06898425,0.20154084,0.06810632,0.80820274,0.00019423
42,1,43,5.20158471,0.21380645,0.07291736,0.20991609,0.07183261,0.80121094,0.00019731
42,1,44,5.14065267,0.29059706,0.09304062,0.28824170,0.09351967,0.80245703,0.00049292
42,1,45,5.09031773,0.20406080,0.06770031,0.20055130,0.06706694,0.79669815,0.00036361
42,1,46,5.05260239,0.20924900,0.07115102,0.20563628,0.07015170,0.77820253,0.00035566
42,1,47,4.96711563,0.22772009,0.07387103,0.22453734,0.07379390,0.79415578,0.00056307
42,1,48,4.90090098,0.20947419,0.06873119,0.20597798,0.06828910,0.79324836,0.00055208
42,2,1,10.16000226,0.27588198,0.08875114,0.27267017,0.08879259,0.85699874,0.00038707
42,2,2,8.01359705,0.31849400,0.10230080,0.31661363,0.10280208,0.83055711,0.00039260
42,2,3,7.87995092,0.21485151,0.07115170,0.21242107,0.07102527,0.79100025,0.00035722
42,2,4,7.58425735,0.21026563,0.07186682,0.20808241,0.07131959,0.76015151,0.00032866
42,2,5,7.37270860,0.25627519,0.08434023,0.25422630,0.08455128,0.72987598,0.00037182
42,2,6,7.17299197,0.22901032,0.07603521,0.22734548,0.07628312,0.70069212,0.00036574
42,2,7,6.94030389,0.27751693,0.09822589,0.27515080,0.09726840,0.69942427,0.00028369
42,2,8,6.77540310,0.29167554,0.10361525,0.28961062,0.10290185,0.67370474,0.00027946
42,2,9,6.54978004,0.31672017,0.11211214,0.31437076,0.11130570,0.67288387,0.00028505
42,2,10,6.40021578,0.19644666,0.06589475,0.19405613,0.06545189,0.63488722,0.00039878
42,2,11,6.14010126,0.29548158,0.09607687,0.29441204,0.09676239,0.67755824,0.00051300
42,2,12,5.97919416,0.19344736,0.06504701,0.19086355,0.06452209,0.67769688,0.00045419
42,2,13,5.82192730,0.19319380,0.06435216,0.19059824,0.06391198,0.66889489,0.00052211
42,2,14,5.70547197,0.20595640,0.06801018,0.20388266,0.06799802,0.66144186,0.00062910
42,2,15,5.55068438,0.21265604,0.07348719,0.20951768,0.07241052,0.64648515,0.00060877
42,2,16,5.43081520,0.19279317,0.06420617,0.19022205,0.06379512,0.64841115,0.00078719
42,2,17,5.26908242,0.19033551,0.06357991,0.18769712,0.06306630,0.66819781,0.00086323
42,2,18,5.16439967,0.18998226,0.06366196,0.18715776,0.06302503,0.67088032,0.00095568
42,2,19,5.05678783,0.19109820,0.06363870,0.18861675,0.06323351,0.66570222,0.00109049
42,2,20,4.95467377,0.20199509,0.06669746,0.19993327,0.06667748,0.67549849,0.00124135
42,2,21,4.87525442,0.18974691,0.06343630,0.18689743,0.06282451,0.67802292,0.00132435
42,2,22,4.79291382,0.19237387,0.06507678,0.18912070,0.06416819,0.68186373,0.00142260
42,2,23,4.69803868,0.20850359,0.07190768,0.20511913,0.07075558,0.67885685,0.00149259
42,2,24,4.62364780,0.18987046,0.06383381,0.18666941,0.06301705,0.68128222,0.00170463
42,2,25,4.52831746,0.18786366,0.06309365,0.18477157,0.06229381,0.69601637,0.00183167
42,2,26,4.45682375,0.21464078,0.07057076,0.21260079,0.07062409,0.69291645,0.00211593
42,2,27,4.37684148,0.19732285,0.06515428,0.19482816,0.06487933,0.70161271,0.00220348
42,2,28,4.31136469,0.18746475,0.06301077,0.18405986,0.06206999,0.69693005,0.00221525
